Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote
WEETH,USD,Pyth,Pyth_WEETH/USD,0x0081d84174d84EE37973fc553b2a3A0101873193,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0x0000000000000000000000000000000000000348
WLD,USD,Pyth,Pyth_WLD/USD,0x6d6a3c5d8cFAB9aEc10e2f6C08576559DF6DdE0E,0x163f8c2467924be0ae7b5347228cabf260318753,0x0000000000000000000000000000000000000348
WOO,USD,Pyth,Pyth_WOO/USD,0xd327b58B5824F3979DCA46CC5D4e973a3a836D3f,0x4691937a7508860f876c9c0a2a617e7d9e945d4b,0x0000000000000000000000000000000000000348
WSTETH,USD,Pyth,Pyth_WSTETH/USD,0xE46A0c83F8061DF2B372fe1579aB6CeAe75F4471,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0x0000000000000000000000000000000000000348
XAUT,USD,Pyth,Pyth_XAUT/USD,0xce1b8F00454cd70C04BAA5613541954e9e9eE0DC,0x68749665FF8D2d112Fa859AA293F07A622782F38,0x0000000000000000000000000000000000000348
YFI,USD,Pyth,Pyth_YFI/USD,0x37d7c05f5613C16933649708b142f0adaF2668AD,0x0bc529c00c6401aef6d220be8c6ea1667f6ad93e,0x0000000000000000000000000000000000000348
weETH,USD,RedStone Classic,RedStoneClassic_weETH/USD,0x175b1A1347F207AA0529430012385A14C46D9638,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0x0000000000000000000000000000000000000348
weETH,ETH,RedStone Classic,RedStoneClassic_weETH/ETH,0x04F50861b2CeC7831B27b74b565EfEeCeABED4Fd,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
ETHx,USD,RedStone Classic,RedStoneClassic_ETHx/USD,0xBc7A03E1791C0d29FC9Eb8921B9F16035041a2C1,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0x0000000000000000000000000000000000000348
ETHx,ETH,RedStone Classic,RedStoneClassic_ETHx/ETH,0x4dd1c76C1B566e10F46305561d2cF97226A79f44,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
osETH,ETH,RedStone Classic,RedStoneClassic_osETH/ETH,0x018b43eCFBE95617c0240A19eb734d973A074267,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
swETH,ETH,RedStone Classic,RedStoneClassic_swETH/ETH,0xdF65b1eCD807b20cb8a8c14049dE49048eeF62F6,0xf951E335afb289353dc249e82926178EaC7DEd78,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
eUSD,USD,RedStone Classic,RedStoneClassic_eUSD/USD,0x34238129479f1423aBDB16C0d29abf4bd1354D29,0xA0d69E286B938e21CBf7E51D71F6A4c8918f482F,0x0000000000000000000000000000000000000348
apxETH,ETH,RedStone Classic,RedStoneClassic_apxETH/ETH,0xc8339D67d3c110dEc5226A497e86d4E18bDe6115,0x9ba021b0a9b958b5e75ce9f6dff97c7ee52cb3e6,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
rsETH,ETH,RedStone Classic,RedStoneClassic_rsETH/ETH,0xB0dC8194eCA11EF10B4451BD596ed29049a2cf7c,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
ezETH,ETH,RedStone Classic,RedStoneClassic_ezETH/ETH,0xe1959F0C88ff3270ed27DF025A943811c2cf1A2e,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
rswETH,ETH,RedStone Classic,RedStoneClassic_rswETH/ETH,0x27C688462fa0dD39e2C8DeB399561F49bF100d5F,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
USDe,USD,RedStone Classic,RedStoneClassic_USDe/USD,0x5035236243d012d6A2C825228626eD62ff90494F,0x4c9edd5852cd905f086c759e8383e09bff1e68b3,0x0000000000000000000000000000000000000348
sUSDe,USD,RedStone Classic,RedStoneClassic_sUSDe/USD,0xdBBaEA81850b43dB583A80C7dE87551B4914dc83,0x9d39a5de30e57443bff2a8307a4256c8797a3497,0x0000000000000000000000000000000000000348
pufETH,ETH,RedStone Classic,RedStoneClassic_pufETH/ETH,0x93c59E574Fb98Dd283A8c54E0C7881AD9944FcAA,0xD9A442856C234a39a81a089C06451EBAa4306a72,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
ETH+,ETH,RedStone Classic,RedStoneClassic_ETH+/ETH,0xD4dF645c88767275fE1C22709BE415bD7B509199,0xE72B141DF173b999AE7c1aDcbF60Cc9833Ce56a8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
sfrxETH,ETH,RedStone Classic,RedStoneClassic_sfrxETH/ETH,0x95DfdA6Ff77F7193Cb20a7E3531Cc6c5eF42f950,0xac3E018457B222d93114458476f3E3416Abbe38F,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
EURA,USD,Cross,Cross_EURA/USD,0x98184FBa0348B8Ca908C1213AC8Cbd4AD1Bee902,0x1a7e4e63778b4f12a199c062f3efdd288afcbce8,0x0000000000000000000000000000000000000348
CBETH,USD,Cross,Cross_CBETH/USD,0x8710019824E557F907Fb0B8BD23d610d74dD7444,0xbe9895146f7af43049ca1c1ae358b0541ea49704,0x0000000000000000000000000000000000000348
ETHx,USD,Cross,Cross_ETHx/USD,0x1DF4f5afD2Ad4E830a343C7C32824A9F4b525496,0xA35b1B31Ce002FBF2058D22F30f95D405200A15b,0x0000000000000000000000000000000000000348
ezETH,USD,Cross,Cross_ezETH/USD,0x2B23B4EAAe78D0343d5168A6A489F7daBc9a8205,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x0000000000000000000000000000000000000348
LDO,USD,Cross,Cross_LDO/USD,0x1aA4B12e93D8F3CFd7431757b545eFC83030fd7d,0x5A98FcBEA516Cf06857215779Fd812CA3beF1B32,0x0000000000000000000000000000000000000348
mETH,USD,Cross,Cross_mETH/USD,0xe7a32E7A8b2536924D8ac4913F80d9133558eC27,0xd5F7838F5C461fefF7FE49ea5ebaF7728bB0ADfa,0x0000000000000000000000000000000000000348
RETH,USD,Cross,Cross_RETH/USD,0x73bDDD7B48B653D4e78D88916a40f9890049ebE9,0xae78736Cd615f374D3085123A210448E74Fc6393,0x0000000000000000000000000000000000000348
RSETH,USD,Cross,Cross_RSETH/USD,0xd9274249FD71413342F75168c476CC357B17A3A1,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0x0000000000000000000000000000000000000348
rswETH,USD,Cross,Cross_rswETH/USD,0x951bcDd3551Bb617f3B98FcD9E6A5c0e70432928,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0x0000000000000000000000000000000000000348
SUSD,USD,Cross,Cross_SUSD/USD,0x7F2e2AD08aD809ba71e9cdab9339726B53564e82,0x57Ab1ec28D129707052df4dF418D58a2D46d5f51,0x0000000000000000000000000000000000000348
SWETH,USD,Cross,Cross_SWETH/USD,0xaE9eCE3Dbf4b457dD44A7be8e683DCe3E2c91205,0xf951E335afb289353dc249e82926178EaC7DEd78,0x0000000000000000000000000000000000000348
WBTC,USD,Cross,Cross_WBTC/USD,0x8F358638Eb5D0afF47E5b320213C07235e40ebe2,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,0x0000000000000000000000000000000000000348
weETH,USD,Cross,Cross_weETH/USD,0x6A7c5B6EBFFc65c464f0A3D88913c906bF7A72aF,0xCd5fE23C85820F7B72D0926FC9b05b43E359b7ee,0x0000000000000000000000000000000000000348
wstETH,ETH,Cross,Cross_wstETH/ETH,0xA9E18Ece44DcCd4E623135098C8B0887C87F6128,0x7f39c581f595b53c5cb19bd0b3f8da6c935e2ca0,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2
osETH,USD,Cross,Cross_osETH/USD,0x7ceBec7483b8D20CEAa4911b368d0113c020dd10,0xf1C9acDc66974dFB6dEcB12aA385b9cD01190E38,0x0000000000000000000000000000000000000348
swETH,USD,Cross,Cross_swETH/USD,0x5ffc9CbD2eec444CbEa73f4FF074FF54775E2F06,0xf951E335afb289353dc249e82926178EaC7DEd78,0x0000000000000000000000000000000000000348
rsETH,USD,Cross,Cross_rsETH/USD,0x6653F10CFadC375dc14A0b55db6e5c037b6fa21b,0xA1290d69c65A6Fe4DF752f95823fae25cB99e5A7,0x0000000000000000000000000000000000000348
ezETH,USD,Cross,Cross_ezETH/USD,0x205934fCB64523CA9DaCee5Cac93e82F2544422c,0xbf5495Efe5DB9ce00f80364C8B423567e58d2110,0x0000000000000000000000000000000000000348
rswETH,USD,Cross,Cross_rswETH/USD,0x83a27C7AC47D6B4065dD442bA90500d61bfbF440,0xFAe103DC9cf190eD75350761e95403b7b8aFa6c0,0x0000000000000000000000000000000000000348
pufETH,USD,Cross,Cross_pufETH/USD,0x5412ed14FF9D2044981987D472d6C0618eD87d57,0xD9A442856C234a39a81a089C06451EBAa4306a72,0x0000000000000000000000000000000000000348
sfrxETH,USD,Cross,Cross_sfrxETH/USD,0x92587bc3c89289540813CFCa9D6E9aa6A759AF90,0xac3E018457B222d93114458476f3E3416Abbe38F,0x0000000000000000000000000000000000000348
apxETH,USD,Cross,Cross_apxETH/USD,0xc667d21d0BFfd9007cDB68A119Bc6b121b1Cb2eD,0x9ba021b0a9b958b5e75ce9f6dff97c7ee52cb3e6,0x0000000000000000000000000000000000000348
ETH+,USD,Cross,Cross_ETH+/USD,0x9c32824d98DBdBDC1c0C47f849E232DF3c5c66ec,0xE72B141DF173b999AE7c1aDcbF60Cc9833Ce56a8,0x0000000000000000000000000000000000000348
