Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
WSTKSCETH,ETH,Cross,Cross_WSTKSCETH/ETH=Pyth_WSTKSCETH/SCETH+RedstoneClassic_SCETH_FUNDAMENTAL/ETH,0x999f22bbE3E7e0a77da73470fFD6c76adfB7644C,0xE8a41c62BB4d5863C6eadC96792cFE90A1f37C47,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,Yes
WSTSKCETH,USD,Cross,Cross_WSTSKCETH/USD=Cross_WSTKSCETH/ETH=Pyth_WSTKSCETH/SCETH+RedstoneClassic_SCETH_FUNDAMENTAL/ETH+Chainlink_ETH/USD,0x0afddC99E980A46f1DC481E1B59e0634Dc5b27F4,0xE8a41c62BB4d5863C6eadC96792cFE90A1f37C47,0x0000000000000000000000000000000000000348,Yes
SolvBTC,USD,RedStone Classic,RedStoneClassic_SolvBTC/USD,0xc8228b83f1d97a431a48bd9bc3e971c8b418d889,0x541FD749419CA806a8bc7da8ac23D346f2dF8B77,0x0000000000000000000000000000000000000348,Yes
SolvBTC.BBN,USD,RedStone Classic,RedStoneClassic_SolvBTC.BBN/USD,0xf5c2dfd1740d18ad7cf23fba76cc11d877802937,0xCC0966D8418d412c599A6421b760a847eB169A8c,0x0000000000000000000000000000000000000348,Yes
Anon,USD,Pyth,Pyth_Anon/USD,0x5939ee098eb6d411c3727b78ee665771f5cb0501,0x79bbF4508B1391af3A0F4B30bb5FC4aa9ab0E07C,0x0000000000000000000000000000000000000348,Yes
wS,USD,RedStone Classic,RedStoneClassic_wS/USD,0xd544ccb6f2231bd1ccac0258cba89e8a13d4a421,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x0000000000000000000000000000000000000348,Yes
wS,USD,Pyth,Pyth_wS/USD,0x7e262cd6226328aaf4ea5c993a952e18dd633bc8,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,0x0000000000000000000000000000000000000348,Yes
WETH,USD,Pyth,Pyth_WETH/USD,0xd0dab9edb2b1909802b03090efbf14743e7ff967,0x50c42dEAcD8Fc9773493ED674b675bE577f2634b,0x0000000000000000000000000000000000000348,Yes
USDC.e,USD,Pyth,Pyth_USDC.e/USD,0x74b77011c244bd7edff34e4cbf23fe41defa313d,0x29219dd400f2Bf60E5a23d13Be72B486D4038894,0x0000000000000000000000000000000000000348,Yes
scUSD,USD,Pyth,Pyth_scUSD/USD,0xe6d9c66c0416c1c88ca5f777d81a7f424d4fa87b,0xd3DCe716f3eF535C5Ff8d041c1A41C3bd89b97aE,0x0000000000000000000000000000000000000348,Yes
scETH,USD,Pyth,Pyth_scETH/USD,0xcba35e68a1cb2f2ca0ca4895de33cd61a3b9dbc1,0x3bcE5CB273F0F148010BbEa2470e7b5df84C7812,0x0000000000000000000000000000000000000348,Yes
stS,wS,Pyth,Pyth_stS/wS,0xfc40b9415ff4591ec304f3c18509a6dc28c408ca,0xE5DA20F15420aD15DE0fa650600aFc998bbE3955,0x039e2fB66102314Ce7b64Ce5Ce3E5183bc94aD38,Yes
