Asset,Quote,Provider,Adapter Name,Adapter,Base,Quote,Whitelist
WBERA,USD,RedStone Classic,RedStoneClassic_WBERA/USD,0xe6d9c66c0416c1c88ca5f777d81a7f424d4fa87b,0x6969696969696969696969696969696969696969,0x0000000000000000000000000000000000000348,Yes
WBERA,USD,Pyth,Pyth_WBERA/USD,0xcba35e68a1cb2f2ca0ca4895de33cd61a3b9dbc1,0x6969696969696969696969696969696969696969,0x0000000000000000000000000000000000000348,Yes
WBERA,USD,API3,API3_WBERA/USD,0xfc40b9415ff4591ec304f3c18509a6dc28c408ca,0x6969696969696969696969696969696969696969,0x0000000000000000000000000000000000000348,Yes
WETH,USD,RedStone Classic,RedStoneClassic_WETH/USD,0xf7129a6280dcfff6149792186b54c818ea4d80d6,0x2F6F07CDcf3588944Bf4C42aC74ff24bF56e7590,0x0000000000000000000000000000000000000348,Yes
WETH,USD,Pyth,Pyth_WETH/USD,0xbad0e1da7d39a21455acef570cf9f3a8881f5e23,0x2F6F07CDcf3588944Bf4C42aC74ff24bF56e7590,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,RedStone Classic,RedStoneClassic_WBTC/USD,0xf2b8616744502851343c52da76e9adfb97f08b91,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,0x0000000000000000000000000000000000000348,Yes
WBTC,USD,Pyth,Pyth_WBTC/USD,0xfaaf6ed6dcd936da3f4ef105d326d6464529206f,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,0x0000000000000000000000000000000000000348,Yes
HONEY,USD,RedStone Classic,RedStoneClassic_HONEY/USD,0x997d72fb46690f304c7db92df9aa823323fb23b2,0xFCBD14DC51f0A4d49d5E53C2E0950e0bC26d0Dce,0x0000000000000000000000000000000000000348,Yes
HONEY,USD,Pyth,Pyth_HONEY/USD,0xed29690a4d7f1b63807957fb71149a8dcfd820a4,0xFCBD14DC51f0A4d49d5E53C2E0950e0bC26d0Dce,0x0000000000000000000000000000000000000348,Yes
USDC.e,USD,RedStone Classic,RedStoneClassic_USDC.e/USD,0x5ad9c6117ceb1981cfcb89beb6bd29c9157ab5b3,0x549943e04f40284185054145c6E4e9568C1D3241,0x0000000000000000000000000000000000000348,Yes
USDC.e,USD,Pyth,Pyth_USDC.e/USD,0xa436df7c3a77d88d1ec9275b5744bdcc187982f2,0x549943e04f40284185054145c6E4e9568C1D3241,0x0000000000000000000000000000000000000348,Yes
STONE,USD,RedStone Classic,RedStoneClassic_STONE/USD,0x255bee201d2526bbf2753df6a6057f23431a3e1c,0xEc901DA9c68E90798BbBb74c11406A32A70652C3,0x0000000000000000000000000000000000000348,Yes
STONE,USD,Pyth,Pyth_STONE/USD,0x74b221fac3000e94a3618357dda27d8333f3fc1e,0xEc901DA9c68E90798BbBb74c11406A32A70652C3,0x0000000000000000000000000000000000000348,Yes
BYUSD,USD,Pyth,Pyth_BYUSD/USD,0x63ee8491f9ca4826d70196af16f25199d211ea48,0x688e72142674041f8f6Af4c808a4045cA1D6aC82,0x0000000000000000000000000000000000000348,No
BYUSD,USD,Pyth,Pyth_BYUSD/USD,0xe5908cbd7b3bc2648b32ce3dc8dfad4d83afd1b4,0x688e72142674041f8f6Af4c808a4045cA1D6aC82,0x0000000000000000000000000000000000000348,Yes
LBTC,WBTC,RedStone Classic,RedStoneClassic_LBTC/WBTC,0xb92b9341be191895e8c68b170ac4528839ffe0b2,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0x0555E30da8f98308EdB960aa94C0Db47230d2B9c,Yes
LBTC,USD,Cross,Cross_LBTC/USD,0x575ffc02361368a2708c00bc7e299d1cd1c89f8a,0xecAc9C5F704e954931349Da37F60E39f515c11c1,0x0000000000000000000000000000000000000348,Yes
rUSD,USD,Fixed Rate,FixedRate_rUSD/USD,0x16fcc1d29833b4c46fa7c7232b0c613034c0242e,0x09D4214C03D01F49544C0448DBE3A27f768F2b34,0x0000000000000000000000000000000000000348,Yes
beraETH,USD,RedStone Classic,RedStoneClassic_beraETH_FUNDAMENTAL/USD,0x8582eF5CE2D82Bfa0779ee0d49a849b8f4070CAf,0x6fc6545d5cDE268D5C7f1e476D444F39c995120d,0x0000000000000000000000000000000000000348,Yes
NECT,USD,RedStone Classic,RedStoneClassic_NECT/USD,0xA5D8658e0Aee09A93206478B2FaDFD0929B431af,0x1cE0a25D13CE4d52071aE7e02Cf1F6606F4C79d3,0x0000000000000000000000000000000000000348,Yes
USDe,USD,RedStone Classic,RedStoneClassic_USDe/USD,0x7e940d9618753f2Cb816C14b05e5Da969A617490,0x5d3a1Ff2b6BAb83b63cd9AD0787074081a52ef34,0x0000000000000000000000000000000000000348,Yes
sUSDe,USD,RedStone Classic,RedStoneClassic_sUSDe_FUNDAMENTAL/USD,0xFC8a6E73DBCBAb3456E024ddeab59e095792D2eD,0x211Cc4DD073734dA055fbF44a2b4667d5E5fE5d2,0x0000000000000000000000000000000000000348,Yes
